Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JC211523,04/01/2019 03:00:00 PM,005XX W ARLINGTON PL,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1935,43,06,,,2019,,,
JC208563,04/01/2019 08:25:00 PM,026XX N DAYTON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1935,43,26,,,2019,,,
JC209083,04/02/2019 11:44:00 AM,016XX W LUNT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,2423,49,06,,,2019,,,
JC216267,04/01/2019 11:00:00 AM,057XX S KIMBARK AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,0235,5,06,,,2019,,,
JC209931,04/03/2019 09:15:00 AM,079XX S LANGLEY AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0624,6,06,,,2019,,,
JC219034,04/01/2019 09:45:00 AM,111XX S ROCKWELL ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",COMMERCIAL / BUSINESS OFFICE,false,false,2212,19,11,,,2019,,,
JC219498,04/01/2019 12:40:00 PM,105XX S GREEN BAY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,false,false,0432,10,11,,,2019,,,
JC212415,04/05/2019 07:10:00 AM,001XX W IDA B WELLS DR,0810,THEFT,OVER $500,CTA TRAIN,false,false,0121,4,06,,,2019,,,
JC216002,04/05/2019 07:30:00 PM,105XX S EGGLESTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,false,false,2233,34,08A,,,2019,,,
JC213690,04/05/2019 09:35:00 AM,023XX N LISTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1432,32,14,,,2019,,,
JC208498,04/02/2019 01:50:00 AM,002XX W ERIE ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,OTHER,false,false,1831,42,26,,,2019,,,
JC214820,04/06/2019 03:40:00 PM,0000X S LA SALLE ST,0820,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,false,false,0122,42,06,,,2019,,,
JC218074,04/07/2019 10:00:00 PM,049XX W BELDEN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2522,36,06,,,2019,,,
JC215040,04/07/2019 04:08:00 AM,001XX W CONGRESS PKWY,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,true,false,0123,25,04A,,,2019,,,
JC224569,04/01/2019 05:30:00 PM,017XX W DIVISION ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,1424,1,06,,,2019,,,
JC218177,04/08/2019 01:20:00 PM,0000X N LA SALLE ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0122,42,06,,,2019,,,
JC218092,04/08/2019 05:01:00 AM,023XX W ADAMS ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1223,27,06,,,2019,,,
JC219246,04/09/2019 04:45:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0112,42,06,,,2019,,,
JC225596,04/10/2019 12:15:00 AM,009XX W margate ter,0810,THEFT,OVER $500,ALLEY,false,false,2024,48,06,,,2019,,,
JC219925,04/11/2019 06:49:00 AM,044XX W CONGRESS PKWY,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,PARKING LOT/GARAGE(NON.RESID.),false,false,1131,28,04A,,,2019,,,
JC228395,04/11/2019 07:00:00 AM,057XX S CICERO AVE,0890,THEFT,FROM BUILDING,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,false,false,0813,23,06,,,2019,,,
JC223160,04/11/2019 11:00:00 AM,044XX N WHIPPLE ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,1724,33,06,,,2019,,,
JC220649,04/11/2019 12:10:00 PM,0000X W HURON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1832,2,11,,,2019,,,
JC221350,04/11/2019 09:45:00 PM,025XX E 91ST ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0423,7,11,,,2019,,,
JC220543,04/11/2019 01:55:00 PM,088XX S PAULINA ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,2221,21,11,,,2019,,,
JC220536,04/11/2019 11:00:00 AM,014XX S STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,,false,false,0131,3,11,,,2019,,,
JC226930,04/12/2019 12:00:00 PM,048XX N KILPATRICK AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,false,false,1712,39,06,,,2019,,,
JC224633,04/12/2019 08:30:00 PM,068XX N LAKEWOOD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,2431,49,11,,,2019,,,
JC224635,04/12/2019 04:00:00 PM,001XX S MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GOVERNMENT BUILDING/PROPERTY,false,false,0114,42,11,,,2019,,,
JC222326,04/12/2019 12:40:00 PM,009XX N WINCHESTER AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,1212,2,06,,,2019,,,
JC225056,04/12/2019 07:00:00 PM,0000X E 9TH ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0123,4,06,,,2019,,,
JC226497,04/12/2019 09:00:00 AM,039XX N JANSSEN AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1922,47,06,,,2019,,,
JC221744,04/12/2019 12:50:00 PM,034XX N AUSTIN AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,1633,36,08B,,,2019,,,
JC223997,04/13/2019 11:00:00 PM,008XX E 38TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0212,4,14,,,2019,,,
JC223176,04/13/2019 02:20:00 PM,006XX N TRUMBULL AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,false,false,1121,27,08B,,,2019,,,
JC224603,04/13/2019 09:00:00 PM,026XX W AINSLIE ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,2031,40,06,,,2019,,,
JC231811,04/11/2019 08:55:00 AM,061XX S INDIANA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0311,20,11,,,2019,,,
JC231682,04/07/2019 05:05:00 PM,053XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,0231,3,06,,,2019,,,
JC214427,04/06/2019 03:00:00 AM,055XX S CARPENTER ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,true,0712,16,02,,,2019,,,
JC226310,04/15/2019 06:13:00 PM,020XX W CORTEZ st,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,1212,2,06,,,2019,,,
JC226476,04/15/2019 08:20:00 PM,125XX S STEWART AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BANK,false,false,0523,9,11,,,2019,,,
JC224688,04/14/2019 08:25:00 PM,054XX W NORTH AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,2532,37,06,,,2019,,,
JC223646,04/13/2019 09:30:00 PM,005XX E 103RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0511,9,08B,,,2019,,,
JC227198,04/14/2019 09:01:00 PM,032XX N ASHLAND AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1922,44,06,,,2019,,,
JC221225,04/12/2019 03:43:00 AM,056XX W BELMONT AVE,0610,BURGLARY,FORCIBLE ENTRY,DRUG STORE,false,false,1633,30,05,,,2019,,,
JC226688,04/16/2019 01:25:00 PM,021XX W CERMAK RD,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,false,false,1234,25,14,,,2019,,,
JC228420,04/16/2019 05:13:00 PM,0000X S DEARBORN ST,0870,THEFT,POCKET-PICKING,CTA PLATFORM,false,false,0112,42,06,,,2019,,,
JC227770,04/16/2019 04:00:00 PM,038XX W PALMER ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,2525,35,11,,,2019,,,
JC226990,04/16/2019 02:20:00 PM,019XX W IOWA ST,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),false,false,1212,2,06,,,2019,,,
JC225995,04/14/2019 11:00:00 PM,006XX S INDEPENDENCE BLVD,0810,THEFT,OVER $500,STREET,false,false,1133,24,06,,,2019,,,
JC234173,04/16/2019 05:30:00 PM,002XX S Michigan Ave,0890,THEFT,FROM BUILDING,OTHER,false,false,0113,42,06,,,2019,,,
JC226599,04/16/2019 12:40:00 PM,001XX W RANDOLPH ST,0460,BATTERY,SIMPLE,STREET,false,false,0122,42,08B,,,2019,,,
